MAIN_ID,ANG_DIST,OTYPE,hour,min,sec,ra,deg,arcmin,arcsec,dec,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,RA_d,DEC_d,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,RVZ_TYPE,RVZ_RADVEL,RVZ_ERROR,RVZ_QUAL,RVZ_WAVELENGTH,RVZ_BIBCODE,SP_TYPE,SP_QUAL,SP_BIBCODE,MORPH_TYPE,MORPH_QUAL,MORPH_BIBCODE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_QUAL,GALDIM_WAVELENGTH,GALDIM_BIBCODE,BIBLIST,
HD 276618,1745.7,PM*,4,37,43.5898,69.43162417,41,36,41.256,41.61146,14,14,0.0552,0.0436,90,A,O,2018yCat.1345....0G,69.43162426,41.61146022,63.454,-175.519,3,3,0.119,0.067,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,R,7.9,,Vega,2003AJ....125..984M,,,E,R,J,6.972,0.023,Vega,2003yCat.2246....0C,,,C,J,H,6.637,0.02,Vega,2003yCat.2246....0C,,,C,H,K,6.578,0.024,Vega,2003yCat.2246....0C,,,C,K,v,18.777,0.0061,A,O,2018A&A...616A...7S,G5,E,1995A&AS..110..367N,,,,,,,,,,12,
B3 0435+415A,1756.69,Radio,4,38,34,69.64166667,41,38,0.8,41.63355556,4,4,35600,19700,0,E,,1985A&AS...59..255F,69.642,41.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2MASS J04401750+4046510,1757.41,RGB*,4,40,17.5095,70.07295625,40,46,51.043,40.78084528,14,14,0.0462,0.0372,90,A,O,2018yCat.1345....0G,70.07295639,40.78084553,1.765,-3.834,3,3,0.101,0.059,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,8.96,0.02,Vega,2003yCat.2246....0C,,,C,J,H,8.093,0.018,Vega,2003yCat.2246....0C,,,C,H,K,7.853,0.027,Vega,2003yCat.2246....0C,,,C,K,v,-37.9,0.54,A,O,2018yCat.1345....0G,,,,,,,,,,,,,2,
1RXS J043904.2+404037,1757.53,X,4,39,4.2,69.7675,40,40,37.49,40.67708056,7,7,,,,E,,2000IAUC.7432R...1V,69.7675,40.677081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Gaia DR2 203961124941561600,1761.76,Candidate_WD*,4,38,1.5934,69.50663917,41,38,2.046,41.63390167,14,14,0.6182,0.442,90,A,O,2018yCat.1345....0G,69.50663943,41.63390192,-9.771,-1.442,3,3,1.265,0.651,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2MASS J04380712+4040489,1761.77,RGB*,4,38,7.122,69.529675,40,40,48.92,40.68025556,7,7,60,60,90,C,N,2003yCat.2246....0C,69.529675,40.680256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.348,0.023,Vega,2003yCat.2246....0C,,,C,J,H,11.686,0.019,Vega,2003yCat.2246....0C,,,C,H,K,11.569,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
Gaia DR2 203829462720240256,1766.11,Star,4,36,34.6323,69.14430125,40,51,51.364,40.86426778,14,14,0.0492,0.0443,90,A,O,2018yCat.1345....0G,69.14430149,40.86426787,1.113,-3.617,3,3,0.1,0.07,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
V* AV Per,1774.08,C*,4,39,35.2589,69.89691208,41,37,11.222,41.61978389,14,14,0.0759,0.064,90,A,O,2018yCat.1345....0G,69.8969121,41.6197841,1.802,-0.823,3,3,0.148,0.101,90,A,2018yCat.1345....0G,B,13.65,1.48,Vega,2000A&A...355L..27H,,,D,B,V,9.84,0.08,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,4.998,0.218,Vega,2003yCat.2246....0C,,,D,J,H,3.795,0.22,Vega,2003yCat.2246....0C,,,D,H,K,3.041,0.302,Vega,2003yCat.2246....0C,,,E,K,v,51,5,E,,1953GCRV..C......0W,C5,4,C,1975AnTok..15...47Y,,,,,,,,,,22
Gaia DR2 203074643692319872,1784.16,Star,4,37,25.086,69.354525,40,43,19.232,40.72200889,14,14,0.2165,0.1733,90,A,O,2018yCat.1345....0G,69.35452531,40.72200903,2.347,-2.855,3,3,0.475,0.272,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2MASS J04361527+4122110,1793.22,HB*,4,36,15.2637,69.06359875,41,22,10.957,41.36971028,14,14,0.0341,0.0273,90,A,O,2018yCat.1345....0G,69.06359888,41.36971031,0.791,-0.182,3,3,0.076,0.044,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.066,0.021,Vega,2003yCat.2246....0C,,,C,J,H,11.376,0.021,Vega,2003yCat.2246....0C,,,C,H,K,11.159,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,2,
HD 276711,1800.12,Star,4,39,58.5902,69.99412583,40,43,31.96,40.72554444,14,14,0.0366,0.0272,90,A,O,2018yCat.1345....0G,69.99412622,40.72554445,-3.144,-2.639,3,3,0.082,0.043,90,A,2018yCat.1345....0G,B,12.12,0.28,Vega,2000A&A...355L..27H,,,D,B,V,10.62,0.08,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.244,0.021,Vega,2003yCat.2246....0C,,,C,J,H,7.726,0.021,Vega,2003yCat.2246....0C,,,C,H,K,7.578,0.024,Vega,2003yCat.2246....0C,,,C,K,v,-15.98,0.84,A,O,2018yCat.1345....0G,G5,E,1995A&AS..110..367N,,,,,,,,,,2,
NVSS J043928+413806,1800.83,Radio,4,39,28.4,69.86833333,41,38,6.6,41.63516667,6,6,600,600,90,D,,1998AJ....115.1693C,69.86833,41.63517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
LP  201-68,1801.12,PM*,4,36,9.7909,69.04079542,40,59,13.572,40.98710333,14,14,0.0479,0.0377,90,A,O,2018yCat.1345....0G,69.04079554,40.98710351,216.384,-134.032,3,3,0.106,0.061,90,A,2018yCat.1345....0G,B,16.4,,Vega,2003AJ....125..984M,,,E,B,,,,,,,,,,R,14.6,,Vega,2003AJ....125..984M,,,E,R,J,11.434,0.021,Vega,2003yCat.2246....0C,,,C,J,H,10.846,0.019,Vega,2003yCat.2246....0C,,,C,H,K,10.594,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,5,
Case   80,1813.33,C*,4,40,38.4696,70.16029,41,29,52.407,41.49789083,14,14,0.1314,0.1158,90,A,O,2018yCat.1345....0G,70.16029024,41.49789103,-0.294,0.044,3,3,0.264,0.187,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,7.526,0.02,Vega,2003yCat.2246....0C,,,C,J,H,6.185,0.023,Vega,2003yCat.2246....0C,,,C,H,K,5.411,0.017,Vega,2003yCat.2246....0C,,,C,K,v,-6,7,D,,2007A&A...473..143D,N,D,1954ApJ...120..129N,,,,,,,,,,12,
Gaia DR2 203970402070941952,1854.42,Candidate_WD*,4,39,49.4251,69.95593792,41,37,30.886,41.62524611,14,14,0.3084,0.2587,90,A,O,2018yCat.1345....0G,69.95593817,41.62524631,14.54,-24.321,3,3,0.681,0.434,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203823827723515392,1860.22,Star,4,37,13.9749,69.30822875,40,43,3.621,40.7176725,14,14,0.0389,0.0316,90,A,O,2018yCat.1345....0G,69.30822896,40.71767267,1.43,-3.579,3,3,0.085,0.051,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203847020544018304,1863.41,Star,4,35,57.2996,68.98874833,41,3,49.907,41.06386306,14,14,0.1258,0.1065,90,A,O,2018yCat.1345....0G,68.98874864,41.06386324,2.217,-3.678,3,3,0.326,0.17,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203847020546499200,1865.67,Star,4,35,57.0883,68.98786792,41,3,50.384,41.06399556,14,14,0.0285,0.0236,90,A,O,2018yCat.1345....0G,68.98786794,41.06399558,1.82,-3.667,3,3,0.072,0.039,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2MASS J04412532+4106515,1881.71,HB*,4,41,25.329,70.3555375,41,6,51.479,41.11429972,14,14,0.0367,0.03,90,A,O,2018yCat.1345....0G,70.35553787,41.1142998,1.707,-2.353,3,3,0.074,0.047,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.233,0.021,Vega,2003yCat.2246....0C,,,C,J,H,11.557,0.019,Vega,2003yCat.2246....0C,,,C,H,K,11.404,0.022,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,2,
NVSS J044025+404447,1911.4,Radio,4,40,25.6,70.10666667,40,44,47,40.74638889,5,5,9000,9000,90,D,R,1998AJ....115.1693C,70.1067,40.7465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD 276691,1912.35,Star,4,39,43.4094,69.9308725,41,39,3.8,41.65105556,14,14,0.0624,0.0604,90,A,O,2018yCat.1345....0G,69.93087268,41.65105565,6.021,-10.887,3,3,0.122,0.096,90,A,2018yCat.1345....0G,B,11.74,0.16,Vega,2000A&A...355L..27H,,,D,B,V,11.53,0.24,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.38,0.021,Vega,2003yCat.2246....0C,,,C,J,H,10.241,0.021,Vega,2003yCat.2246....0C,,,C,H,K,10.169,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A0,E,1995A&AS..110..367N,,,,,,,,,,3,
TYC 2888-1261-1,1931.8,Star,4,37,10.3899,69.29329125,41,37,4.342,41.61787278,14,14,0.0386,0.031,90,A,O,2018yCat.1345....0G,69.29329155,41.6178728,-9.384,-12.977,3,3,0.085,0.048,90,A,2018yCat.1345....0G,B,11.64,0.18,Vega,2000A&A...355L..27H,,,D,B,V,10.56,0.1,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.215,0.019,Vega,2003yCat.2246....0C,,,C,J,H,7.637,0.02,Vega,2003yCat.2246....0C,,,C,H,K,7.467,0.017,Vega,2003yCat.2246....0C,,,C,K,v,-48.67,0.25,A,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
Gaia DR2 203824579339622784,1950.78,Star,4,36,51.8813,69.21617208,40,44,8.407,40.73566861,14,14,0.0916,0.0696,90,A,O,2018yCat.1345....0G,69.21617236,40.73566864,1.468,-3.739,3,3,0.19,0.11,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
TYC 2888-1664-1,1982.76,Star,4,36,2.1305,69.00887708,41,24,21.059,41.40584972,14,14,0.0531,0.0427,90,A,O,2018yCat.1345....0G,69.00887712,41.40584982,-2.914,0.163,3,3,0.116,0.07,90,A,2018yCat.1345....0G,B,12.57,0.41,Vega,2000A&A...355L..27H,,,D,B,V,11.46,0.18,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.744,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.445,0.023,Vega,2003yCat.2246....0C,,,C,H,K,9.332,0.016,Vega,2003yCat.2246....0C,,,C,K,v,-12.71,0.9,A,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
[KLK2001] 940521.60,1999.63,gammaBurst,4,37,,69.25,40,7,,40.11666667,2,2,1.08E+07,1.08E+07,90,E,,2001ApJS..134..385K,69.2,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Lan 531,2006.91,WD*,4,36,27.7409,69.11558708,40,47,8.752,40.78576444,14,14,0.0808,0.0617,90,A,O,2018yCat.1345....0G,69.1155872,40.78576466,40.954,44.522,3,3,0.167,0.096,90,A,2018yCat.1345....0G,B,16.72,,Vega,,,,E,B,V,16.55,,Vega,,,,E,V,,,,,,,,,,J,16.52,0.125,Vega,2003yCat.2246....0C,,,D,J,H,16.316,0.26,Vega,2003yCat.2246....0C,,,D,H,,,,,,,,,,,,,,,,DA5.0,C,2011ApJ...743..138G,,,,,,,,,,10,
TYC 2901-2093-1,2010.37,Star,4,41,18.5834,70.32743083,41,24,38.572,41.41071444,14,14,0.042,0.0332,90,A,O,2018yCat.1345....0G,70.32743112,41.41071469,12.348,-9.93,3,3,0.083,0.055,90,A,2018yCat.1345....0G,B,12.39,0.33,Vega,2000A&A...355L..27H,,,D,B,V,11.4,0.15,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.07,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.834,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.745,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,0,
HD 276612,2011.13,Star,4,37,30.6151,69.37756292,41,40,28.805,41.67466806,14,14,0.0922,0.0583,90,A,O,2018yCat.1345....0G,69.37756311,41.67466816,-1.896,-2.282,3,3,6.923,5.326,90,A,2016A&A...595A...2G,B,11.46,0.14,Vega,2000A&A...355L..27H,,,D,B,V,11.41,0.2,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.61,0.027,Vega,2003yCat.2246....0C,,,C,J,H,10.569,0.021,Vega,2003yCat.2246....0C,,,C,H,K,10.54,0.034,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A,E,1995A&AS..110..367N,,,,,,,,,,2,
HD 276610,2020.07,Star,4,37,43.9414,69.43308917,41,41,33.809,41.69272472,14,14,0.0505,0.0374,90,A,O,2018yCat.1345....0G,69.43308923,41.69272489,-0.909,-2.486,3,3,0.103,0.055,90,A,2018yCat.1345....0G,B,10.44,0.06,Vega,2000A&A...355L..27H,,,D,B,V,10.24,0.07,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.746,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.743,0.022,Vega,2003yCat.2246....0C,,,C,H,K,9.71,0.022,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A3,E,1995A&AS..110..367N,,,,,,,,,,4,
2MASS J04400979+4138403,2022.47,HB*,4,40,9.7925,70.04080208,41,38,40.328,41.64453556,14,14,0.0248,0.0203,90,A,O,2018yCat.1345....0G,70.04080227,41.64453577,0.164,-3.996,3,3,0.048,0.032,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,11.481,0.021,Vega,2003yCat.2246....0C,,,C,J,H,10.822,0.017,Vega,2003yCat.2246....0C,,,C,H,K,10.61,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,2,
2MASS J04360055+4054041,2022.58,RGB*,4,36,0.5564,69.00231833,40,54,4.274,40.90118722,14,14,0.0455,0.0358,90,A,O,2018yCat.1345....0G,69.00231874,40.90118743,1.667,-5.169,3,3,0.093,0.06,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,9.918,0.021,Vega,2003yCat.2246....0C,,,C,J,H,9.341,0.019,Vega,2003yCat.2246....0C,,,C,H,K,9.189,0.016,Vega,2003yCat.2246....0C,,,C,K,v,-5.04,0.65,A,O,2018yCat.1345....0G,,,,,,,,,,,,,3,
2MASX J04365268+4042293,2023.76,Galaxy,4,36,52.687,69.21952917,40,42,29.39,40.70816389,7,7,,,,C,I,2006AJ....131.1163S,69.219529,40.708164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,13.699,0.079,Vega,2006AJ....131.1163S,,,C,J,H,13.027,0.098,Vega,2006AJ....131.1163S,,,C,H,K,12.479,0.109,Vega,2006AJ....131.1163S,,,D,K,,,,,,,,,,,,,0.37,0.148,5,C,N,2006AJ....131.1163S,3,
Gaia DR2 203072930000064640,2024.9,Star,4,37,19.6269,69.33177875,40,39,20.468,40.65568556,14,14,0.0444,0.0342,90,A,O,2018yCat.1345....0G,69.33177887,40.65568576,1.265,-2.751,3,3,0.095,0.054,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD 276609,2038.78,Star,4,38,10.87,69.54529167,41,43,5.778,41.71827167,14,14,0.0513,0.0391,90,A,O,2018yCat.1345....0G,69.54529193,41.71827171,0.948,-4.597,3,3,2.283,1.769,90,A,2016A&A...595A...2G,B,11.08,0.1,Vega,2000A&A...355L..27H,,,D,B,V,10.75,0.12,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.259,0.02,Vega,2003yCat.2246....0C,,,C,J,H,10.117,0.02,Vega,2003yCat.2246....0C,,,C,H,K,10.058,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A2,E,1995A&AS..110..367N,,,,,,,,,,2,
TYC 2884-716-1,2045.38,Star,4,37,36.2185,69.40091042,40,37,36.425,40.62678472,14,14,0.0812,0.0678,90,A,O,2018yCat.1345....0G,69.40091069,40.62678477,8.472,-10.554,3,3,0.163,0.104,90,A,2018yCat.1345....0G,B,11.71,0.13,Vega,2000A&A...355L..27H,,,D,B,V,11.18,0.13,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.892,0.021,Vega,2003yCat.2246....0C,,,C,J,H,9.723,0.019,Vega,2003yCat.2246....0C,,,C,H,K,9.599,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,0,
B3 0433+405,2048.63,Radio,4,37,11.4,69.2975,40,39,43,40.66194444,5,5,1200,1200,90,D,R,1996AJ....111.1945D,69.2975,40.6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203821658764528640,2056.92,Star,4,35,53.9761,68.97490042,40,55,18.335,40.92175972,14,14,0.11,0.1048,90,A,O,2018yCat.1345....0G,68.97490059,40.92175996,1.437,-2.916,3,3,0.228,0.168,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2MASS J04355176+4056097,2059.02,RGB*,4,35,51.7583,68.96565958,40,56,9.714,40.93603167,14,14,0.0284,0.0237,90,A,O,2018yCat.1345....0G,68.9656597,40.93603181,1.374,-2.005,3,3,0.064,0.04,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.228,0.023,Vega,2003yCat.2246....0C,,,C,J,H,11.565,0.024,Vega,2003yCat.2246....0C,,,C,H,K,11.339,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
2MASS J04394175+4141511,2061.87,RGB*,4,39,41.7643,69.92401792,41,41,51.148,41.69754111,14,14,0.0379,0.0315,90,A,O,2018yCat.1345....0G,69.92401792,41.69754115,3.268,-2.352,3,3,0.075,0.051,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,10.832,0.021,Vega,2003yCat.2246....0C,,,C,J,H,10.233,0.021,Vega,2003yCat.2246....0C,,,C,H,K,10.059,0.016,Vega,2003yCat.2246....0C,,,C,K,v,9.99,2.49,C,O,2018yCat.1345....0G,,,,,,,,,,,,,3,
Gaia DR2 203900862256043648,2066.73,Candidate_YSO,4,35,41.5139,68.92297458,41,17,47.638,41.29656611,14,14,0.0719,0.058,90,A,O,2018yCat.1345....0G,68.92297481,41.29656613,0.947,-0.967,3,3,0.184,0.094,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2MFGC 3754,2070.26,Galaxy,4,36,0.339,69.0014125,40,52,29.44,40.87484444,7,7,,,,C,I,2006AJ....131.1163S,69.001412,40.874844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.84,0.054,Vega,2006AJ....131.1163S,,,C,J,H,12.071,0.058,Vega,2006AJ....131.1163S,,,C,H,K,11.624,0.07,Vega,2006AJ....131.1163S,,,C,K,,,,,,,,,,,,,0.573,0.161,70,C,N,2006AJ....131.1163S,4,
IRAS 04333+4036,2093.23,FIR,4,36,45.4,69.18916667,40,42,5,40.70138889,5,5,45000,20000,81,E,F,1988NASAR1190....1B,69.1892,40.7014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
HD 276648,2108.16,Star,4,37,19.8942,69.3328925,40,37,46.512,40.62958667,14,14,0.0389,0.0306,90,A,O,2018yCat.1345....0G,69.33289254,40.62958676,2.541,-5.07,3,3,0.084,0.05,90,A,2018yCat.1345....0G,B,10,,Vega,,,,E,B,,,,,,,,,,,,,,,,,,,J,10.909,0.02,Vega,2003yCat.2246....0C,,,C,J,H,10.806,0.019,Vega,2003yCat.2246....0C,,,C,H,K,10.738,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A0,E,1995A&AS..110..367N,,,,,,,,,,1,
HD 276635,2118.41,Star,4,35,44.5695,68.93570625,40,56,52.081,40.94780028,14,14,0.0378,0.0306,90,A,O,2018yCat.1345....0G,68.93570626,40.94780044,-15.802,-9.88,3,3,0.083,0.053,90,A,2018yCat.1345....0G,B,12.55,0.43,Vega,2000A&A...355L..27H,,,D,B,V,11.58,0.24,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.864,0.022,Vega,2003yCat.2246....0C,,,C,J,H,9.611,0.024,Vega,2003yCat.2246....0C,,,C,H,K,9.491,0.02,Vega,2003yCat.2246....0C,,,C,K,v,16.3,0.48,A,O,2018yCat.1345....0G,F8,E,1995A&AS..110..367N,,,,,,,,,,2,
Gaia DR2 203141816984227712,2127.14,Candidate_WD*,4,41,40.0266,70.4167775,40,59,39.024,40.99417333,14,14,0.4684,0.3395,90,A,O,2018yCat.1345....0G,70.41677791,40.99417349,-9.638,-5.653,3,3,1.019,0.595,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2MASS J04411872+4128341,2127.53,HB*,4,41,18.7149,70.32797875,41,28,34.248,41.47618,14,14,0.0248,0.0198,90,A,O,2018yCat.1345....0G,70.32797907,41.47618006,5.326,-4.93,3,3,0.048,0.032,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,11.096,0.02,Vega,2003yCat.2246....0C,,,C,J,H,10.435,0.017,Vega,2003yCat.2246....0C,,,C,H,K,10.224,0.016,Vega,2003yCat.2246....0C,,,C,K,v,24.82,1.67,B,O,2018yCat.1345....0G,,,,,,,,,,,,,2,
2MASS J04390631+4034199,2134.41,RGB*,4,39,6.3143,69.77630958,40,34,19.927,40.57220194,14,14,0.0233,0.0192,90,A,O,2018yCat.1345....0G,69.77630988,40.57220198,-0.609,-2.061,3,3,0.05,0.03,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,11.674,0.018,Vega,2003yCat.2246....0C,,,C,J,H,11.041,0.015,Vega,2003yCat.2246....0C,,,C,H,K,10.909,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
2MASS J04412925+4125182,2135.42,RGB*,4,41,29.2422,70.3718425,41,25,18.217,41.42172694,14,14,0.0356,0.0266,90,A,O,2018yCat.1345....0G,70.37184261,41.42172709,2.941,-1.457,3,3,0.065,0.045,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,10.669,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.97,0.015,Vega,2003yCat.2246....0C,,,C,H,K,9.764,0.016,Vega,2003yCat.2246....0C,,,C,K,v,-18.33,0.6,A,O,2018yCat.1345....0G,,,,,,,,,,,,,2,
UCAC2  45945319,2137.94,PM*,4,41,28.3327,70.36805292,40,53,35.686,40.89324611,14,14,0.0453,0.0362,90,A,O,2018yCat.1345....0G,70.36805322,40.89324618,7.789,-57.309,3,3,0.096,0.06,90,A,2018yCat.1345....0G,B,12.79,0.04,Vega,2012yCat.1322....0Z,,,D,B,V,11.41,0.02,Vega,2012yCat.1322....0Z,,,D,V,R,10.94,0.02,Vega,2012yCat.1322....0Z,,,D,R,J,8.75,0.02,Vega,2003yCat.2246....0C,,,C,J,H,8.1,0.024,Vega,2003yCat.2246....0C,,,C,H,K,7.947,0.017,Vega,2003yCat.2246....0C,,,C,K,v,50.8,0.46,A,O,2018yCat.1345....0G,K7,D,2014MNRAS.443.2561G,,,,,,,,,,6,
